,0
0,bored
1,question
2,excited
3,excited
4,question
5,excited
6,neutral
7,bored
8,neutral
9,neutral
10,neutral
11,bored
12,bored
13,question
14,neutral
15,bored
16,neutral
17,neutral
18,question
19,excited
20,neutral
21,excited
22,bored
23,excited
24,bored
25,neutral
26,bored
27,bored
28,bored
29,excited
30,question
31,excited
32,neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,question
38,question
39,bored
40,question
41,bored
42,bored
43,question
44,neutral
45,bored
46,excited
47,bored
48,bored
49,question
50,question
51,bored
52,bored
53,question
54,excited
55,neutral
56,bored
57,neutral
58,neutral
59,neutral
60,excited
61,bored
62,excited
63,excited
64,question
65,excited
66,question
67,bored
68,question
69,neutral
70,bored
71,bored
72,neutral
73,bored
74,question
75,neutral
76,excited
77,question
78,excited
79,question
80,neutral
81,excited
82,neutral
83,excited
84,neutral
85,neutral
86,excited
87,excited
88,bored
89,bored
90,question
91,question
92,question
93,bored
94,neutral
95,bored
96,question
97,question
98,bored
99,bored
100,bored
101,bored
102,neutral
103,question
104,excited
105,neutral
106,bored
107,question
108,question
109,excited
110,excited
111,neutral
112,question
113,neutral
114,bored
115,excited
116,neutral
117,excited
118,question
119,excited
120,excited
121,excited
122,bored
123,bored
124,neutral
125,neutral
126,bored
127,question
128,excited
129,excited
130,bored
131,excited
132,bored
133,neutral
134,question
135,excited
136,neutral
137,question
138,bored
139,question
140,excited
141,question
142,neutral
143,question
144,neutral
145,question
146,excited
147,question
148,bored
149,neutral
150,question
151,excited
152,question
153,excited
154,question
155,bored
156,bored
157,bored
158,bored
159,bored
160,bored
161,excited
162,neutral
163,excited
164,neutral
165,question
166,question
167,bored
168,neutral
169,bored
170,excited
171,bored
172,excited
173,excited
174,excited
175,question
176,question
177,excited
178,question
179,neutral
180,bored
181,excited
182,question
183,bored
184,neutral
185,excited
186,neutral
187,question
188,neutral
189,neutral
190,neutral
191,neutral
192,excited
193,question
194,question
195,bored
196,excited
197,question
198,bored
199,bored
200,question
201,neutral
202,neutral
203,bored
204,bored
205,excited
206,question
207,neutral
208,excited
209,question
210,excited
211,neutral
212,bored
213,neutral
214,bored
215,bored
216,question
217,neutral
218,bored
219,bored
220,excited
221,neutral
222,bored
223,neutral
224,neutral
225,neutral
226,excited
227,neutral
228,bored
229,neutral
230,bored
231,excited
232,question
233,neutral
234,neutral
235,excited
236,neutral
237,bored
238,bored
239,bored
240,question
241,question
242,excited
243,neutral
244,neutral
245,neutral
246,excited
247,question
248,neutral
249,question
250,question
251,question
252,neutral
253,question
254,bored
255,bored
256,excited
257,neutral
258,neutral
259,neutral
260,bored
261,neutral
262,excited
263,question
264,question
265,question
266,bored
267,excited
268,neutral
269,bored
270,question
271,excited
272,question
273,neutral
274,neutral
275,neutral
276,question
277,neutral
278,excited
279,neutral
280,excited
281,neutral
282,question
283,excited
284,bored
285,neutral
286,question
287,neutral
288,question
289,question
290,bored
291,excited
292,question
293,excited
294,bored
295,question
296,neutral
297,question
298,excited
299,excited
300,neutral
301,bored
302,bored
303,neutral
304,excited
305,excited
306,question
307,neutral
308,bored
309,bored
310,excited
311,excited
312,excited
313,neutral
314,excited
315,question
316,bored
317,bored
318,bored
319,question
320,question
321,neutral
322,excited
323,excited
324,excited
325,bored
326,neutral
327,question
328,question
329,bored
330,neutral
331,excited
332,excited
333,neutral
334,question
335,neutral
336,question
337,excited
338,neutral
339,bored
340,bored
341,neutral
342,excited
343,question
344,bored
345,bored
346,question
347,bored
348,excited
349,excited
350,excited
351,question
352,excited
353,neutral
354,question
355,bored
356,bored
357,neutral
358,excited
359,neutral
360,question
361,excited
362,question
363,excited
364,question
365,neutral
366,bored
367,excited
368,neutral
369,excited
370,neutral
371,question
372,bored
373,excited
374,neutral
375,question
376,excited
377,neutral
378,excited
379,neutral
380,question
381,bored
382,neutral
383,excited
384,neutral
385,bored
386,neutral
387,excited
388,neutral
389,bored
390,bored
391,excited
392,question
393,excited
394,neutral
395,bored
396,neutral
397,neutral
398,bored
399,bored
400,question
401,bored
402,bored
403,excited
404,question
405,question
406,excited
407,excited
408,neutral
409,excited
410,bored
